CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	107180	76076	14	184	-0.417310498289325	52322	-0.322625353590239
1	2	698027	698027	0	1	Inf	0.14566813395481	698027	0.14566813395481
1	3	773113	773113	0	1	Inf	-0.136014951600833	773113	-0.136014951600833
2	4	40644	55683	15039	3	199	-0.178267166694393	40644	-0.161582451425907
2	5	98233	115723	17490	6	343	-0.222553376329664	98233	-0.18630477749992
2	6	249335	620053	370718	43	116	0.248611333531531	411698	0.199125773941194
2	7	703900	785378	81478	4	49	0.313974861121778	746853	0.187789252485747
3	8	7056	27895	20839	11	528	-0.151691502823929	7056	-0.134413219746623
3	9	201734	278239	76505	46	601	-0.239769820971867	278239	-0.197332104529551
3	10	933539	1085814	152275	26	171	-0.255020782285082	991106	-0.225189028391258
4	11	396828	587056	190228	7	37	-0.152663863949438	551146	-0.00428438745438044
4	12	655206	675713	20507	2	98	0.263088847105141	655206	0.225063378519469
4	13	890254	890254	0	1	Inf	0.179139503054606	890254	0.179139503054606
4	14	1089461	1089461	0	1	Inf	0.149851079672375	1089461	0.149851079672375
5	15	452244	452244	0	1	Inf	-0.142221637849802	452244	-0.142221637849802
5	16	936793	948785	11992	2	167	-0.230173120104885	948785	-0.188982462626756
6	17	80717	80717	0	1	Inf	-0.258434547908232	80717	-0.258434547908232
6	18	857791	857791	0	1	Inf	0.127487562189055	857791	0.127487562189055
6	19	910145	946007	35862	9	251	0.160940875094541	926355	0.145324532200244
6	20	1085318	1085318	0	1	Inf	-0.184147489588613	1085318	-0.184147489588613
6	21	1153867	1174801	20934	33	1576	-0.14889894191919	1169196	-0.143512249907016
7	22	32597	379031	346434	69	199	-0.377331803984638	61650	-0.274885497851197
7	23	476602	500630	24028	6	250	0.1974621738313	493335	0.179672019552348
7	24	537185	559344	22159	3	135	0.185818464202121	554067	0.168251545520296
7	25	860410	860410	0	1	Inf	0.135576665715619	860410	0.135576665715619
8	26	26150	164995	138845	5	36	-0.38999388999389	81887	-0.246749006521384
8	27	462119	566065	103946	22	212	-0.180194535125245	556808	-0.165349464069336
8	28	663609	663609	0	1	Inf	0.121194890884873	663609	0.121194890884873
8	29	828248	836332	8084	5	619	0.133284274122061	836332	0.131056303901763
8	30	1018603	1026391	7788	4	514	0.172880242069733	1019097	0.158042312081233
8	31	1095126	1252793	157667	9	57	-0.34440677253866	1252793	-0.249271569749963
