CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	132074	136286	4212	2	475	0.151171607631819	136286	0.146763702299013
1	2	715530	732150	16620	2	120	-0.176101735249201	715530	-0.155372466996144
2	3	40644	41909	1265	2	1581	-0.197637890516649	40644	-0.193928558372166
2	4	181477	241490	60013	18	300	-0.173727166750434	229557	-0.138274005004793
2	5	381947	388085	6138	3	489	-0.147497136224752	388085	-0.144010453110622
2	6	703900	715999	12099	2	165	-0.2372240987826	715999	-0.204668002271133
4	7	216867	216990	123	4	32520	0.128815299439674	216867	0.128754119556678
5	8	852215	863560	11345	2	176	0.1487294893409	863560	0.146759415295168
5	9	1009579	1009579	0	1	Inf	-0.132834945763706	1009579	-0.132834945763706
6	10	962525	974726	12201	5	410	-0.182412656444167	974726	-0.16941643772453
6	11	1041532	1109275	67743	8	118	-0.168425794222812	1067230	-0.146912044580442
6	12	1148396	1184912	36516	50	1369	-0.19206244606976	1169196	-0.17095102987134
7	13	49049	200215	151166	25	165	-0.272853588063201	61650	-0.21545433928338
7	14	300162	337183	37021	17	459	-0.177477463496827	334563	-0.16230301320281
7	15	378869	379031	162	2	12346	-0.130479638139118	379031	-0.130124028426506
7	16	520137	520137	0	1	Inf	-0.121417175432922	520137	-0.121417175432922
7	17	1050552	1065843	15291	91	5951	-0.153171150654853	1050552	-0.152320146584124
8	18	26150	132714	106564	5	47	-0.258145363408521	132714	-0.198377626612792
8	19	203744	203744	0	1	Inf	0.148369871566312	203744	0.148369871566312
8	20	370306	370306	0	1	Inf	-0.166185327681169	370306	-0.166185327681169
8	21	733536	740270	6734	2	297	-0.131640528630721	733536	-0.131153861129527
8	22	1238422	1252793	14371	3	209	-0.172053968947463	1238422	-0.15624508341644
