CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	136286	105182	16	152	-0.490014571560782	31104	-0.345036171483321
1	2	844126	855001	10875	2	184	-0.213416448275114	844126	-0.210035213388084
2	3	151591	151591	0	1	Inf	0.128416184010263	151591	0.128416184010263
2	4	675350	746853	71503	12	168	-0.159124481260163	715999	-0.137591823597674
2	5	867406	882846	15440	4	259	0.181055706162995	882846	0.161163659717502
3	6	46834	201734	154900	39	252	0.189956518040366	192170	0.152682718221671
4	7	256412	264493	8081	4	495	-0.168779872858353	264493	-0.166791518692967
4	8	551146	675713	124567	7	56	0.200197691614143	655206	0.177937237217283
4	9	890254	912899	22645	4	177	0.192427492939204	890254	0.161712738442948
4	10	1089461	1089461	0	1	Inf	-0.204361054766734	1089461	-0.204361054766734
5	11	452244	452244	0	1	Inf	0.157612206259049	452244	0.157612206259049
5	12	747783	788196	40413	5	124	0.204900185665531	772978	0.196102309595387
5	13	845569	852215	6646	4	602	0.142287095178201	852215	0.13216020662107
5	14	895743	896768	1025	2	1951	-0.13019096762871	895743	-0.129610187674804
6	15	80717	80717	0	1	Inf	-0.196986368359924	80717	-0.196986368359924
6	16	619172	625691	6519	2	307	0.147551700404415	619172	0.144803482228671
6	17	910145	938952	28807	6	208	0.180611421057333	910145	0.157184265556581
6	18	1067230	1067230	0	1	Inf	-0.129516785825489	1067230	-0.129516785825489
6	19	1235753	1253071	17318	5	289	0.14873909269074	1243062	0.148030856910105
7	19	32597	102114	69517	27	388	-0.279484544860983	61650	-0.235750287888835
7	20	300162	351428	51266	24	468	-0.182676659349467	334563	-0.151814958350407
7	21	492153	500630	8477	3	354	0.160369039220794	493226	0.15246577060067
7	22	537185	559344	22159	3	135	0.16206335700269	537185	0.145822740648091
7	23	735689	735689	0	1	Inf	0.165750761593688	735689	0.165750761593688
7	24	860410	875319	14909	3	201	0.160287902995643	860410	0.157877668483194
7	25	970131	970131	0	1	Inf	0.131277485459843	970131	0.131277485459843
8	26	26150	164995	138845	6	43	-0.432353617775613	81887	-0.334605387643585
8	27	246363	246363	0	1	Inf	-0.143822867926479	246363	-0.143822867926479
8	28	509259	527228	17969	5	278	0.1491402656976	520584	0.14052288270621
8	29	724420	724426	6	2	333333	-0.125992403357526	724420	-0.125988796002208
8	30	1232237	1252793	20556	4	195	-0.195001896132915	1252793	-0.167214782005017
