CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	107180	76076	14	184	-0.256407696848983	31104	-0.176783113020818
1	2	698027	698027	0	1	Inf	0.130286606033676	698027	0.130286606033676
2	3	40644	55683	15039	3	199	-0.210953359899419	40644	-0.180776223078768
2	4	98233	115723	17490	6	343	-0.227962049949034	98233	-0.190031393108061
2	5	267621	386699	119078	22	185	0.176904116577492	327378	0.159243717151387
2	6	398419	423427	25008	5	200	0.159754372073845	411698	0.15078172503574
2	7	463571	589928	126357	10	79	0.190860272061391	465440	0.171307323352995
2	8	746853	746853	0	1	Inf	0.23981738203819	746853	0.23981738203819
3	9	7056	23846	16790	8	476	-0.132273868374676	7056	-0.130031596108464
3	10	209502	278239	68737	45	655	-0.196208586322016	278239	-0.164059579614536
3	11	933539	1085814	152275	26	171	-0.209301383342359	986577	-0.185606679253342
4	12	551146	587056	35910	3	84	0.199736243486192	551146	0.163970319451264
4	13	655206	655206	0	1	Inf	0.198061892045471	655206	0.198061892045471
4	14	890254	900323	10069	2	199	0.176478884816634	890254	0.156154260784638
5	15	948785	948785	0	1	Inf	-0.159627010736485	948785	-0.159627010736485
6	16	80717	80717	0	1	Inf	-0.222241846226304	80717	-0.222241846226304
6	17	938952	946007	7055	4	567	0.129123958961335	938952	0.126267616247963
6	18	1085318	1109275	23957	2	83	-0.171716037094029	1085318	-0.149521117366812
6	19	1152255	1174801	22546	39	1730	-0.150160144198521	1169196	-0.143238924780292
7	20	32597	379031	346434	65	188	-0.256657424726822	379031	-0.210510838763872
7	21	422683	422683	0	1	Inf	0.12615163798111	422683	0.12615163798111
8	22	26150	164995	138845	5	36	-0.372516721573325	81887	-0.239568488581727
8	23	462119	495313	33194	10	301	-0.145408223520214	462119	-0.139009395374454
8	24	828248	836332	8084	5	619	0.150497549299259	836332	0.145255353921954
8	25	1018603	1026391	7788	4	514	0.162616993424739	1019097	0.152554656124123
8	26	1150042	1252793	102751	6	58	-0.310633233047787	1238422	-0.252382623229739
