CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	109428	78324	15	192	-0.439150531603205	31104	-0.334615047930518
1	2	698027	698027	0	1	Inf	0.152821084166582	698027	0.152821084166582
1	3	773113	773113	0	1	Inf	-0.13187833454319	773113	-0.13187833454319
2	4	40644	55683	15039	3	199	-0.195825072734509	40644	-0.173898730315861
2	5	98233	111770	13537	4	295	-0.19867299488292	98233	-0.181257204074088
2	6	237908	620053	382145	45	118	0.257162849687928	545038	0.204661602830173
2	7	657007	657159	152	2	13158	0.123314248778003	657159	0.123232210728927
2	8	703900	785378	81478	4	49	0.345622370700322	746853	0.216249543331461
3	9	7056	36296	29240	13	445	-0.145774969963794	27895	-0.143154452019888
3	10	209502	278239	68737	45	655	-0.216628641076923	252367	-0.20079498044304
3	11	933539	1085814	152275	26	171	-0.280459584992358	1085814	-0.234714691541563
4	12	396828	655206	258378	10	39	0.24189952385081	551146	0.0594665290546457
4	13	791159	791159	0	1	Inf	0.15190428586749	791159	0.15190428586749
4	14	890254	900323	10069	2	199	0.223964692352018	890254	0.200295202352138
4	15	1089461	1089461	0	1	Inf	0.204454222633936	1089461	0.204454222633936
5	16	948785	948785	0	1	Inf	-0.181541865854391	948785	-0.181541865854391
6	17	80717	80717	0	1	Inf	-0.165518937530743	80717	-0.165518937530743
6	18	619172	717905	98733	3	30	0.157191710004217	619172	0.146262920247941
6	19	893412	974726	81314	19	234	0.147892982591055	926355	0.137519725602998
6	20	1085318	1085318	0	1	Inf	-0.16196516953055	1085318	-0.16196516953055
6	21	1149101	1174801	25700	46	1790	-0.180812544586588	1169196	-0.167950965022534
7	22	32597	379031	346434	64	185	-0.424622871643659	66127	-0.300000351168399
7	23	422683	500630	77947	10	128	0.182749646251502	448015	0.156334741543962
7	24	554067	554067	0	1	Inf	0.122171584358995	554067	0.122171584358995
7	25	735689	735689	0	1	Inf	0.134549084486179	735689	0.134549084486179
7	26	808308	808308	0	1	Inf	0.149176328292205	808308	0.149176328292205
7	27	860410	932569	72159	4	55	0.159757349021572	875319	0.147436855930422
8	28	81887	164995	83108	3	36	-0.396873496873497	81887	-0.339612337351018
8	29	462119	566065	103946	21	202	-0.174814411979539	546395	-0.153705561625013
8	30	1018603	1026391	7788	4	514	0.162039787627724	1019097	0.15075364783312
8	31	1090645	1252793	162148	10	62	-0.351068362816714	1252793	-0.239190519006899
