CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	109428	78324	15	192	-0.273622190800516	31104	-0.186390936751877
2	2	23546	65932	42386	8	189	0.223852352305783	65932	0.190991587302041
2	3	151591	168473	16882	6	355	0.141980413692327	165521	0.132458580635176
2	4	267621	327378	59757	14	234	0.13784145974837	305137	0.129542350191837
2	5	411698	423427	11729	4	341	0.157063051548122	411698	0.153511801489433
2	6	463571	561273	97702	5	51	0.182828283091553	465440	0.169993929962651
2	7	654388	686168	31780	12	378	-0.180679934227567	675350	-0.162419390580428
2	8	715999	801698	85699	5	58	-0.167081967045388	801683	-0.153736105516586
2	9	867406	882846	15440	4	259	0.21082919224693	882846	0.16904046680113
2	10	919021	928068	9047	3	332	0.136966596838542	928068	0.133722971005601
3	11	22643	201734	179091	46	257	0.213353412393137	96554	0.180648998902796
3	12	339523	668648	329125	6	18	-0.157637958414482	348766	-0.150157118268524
3	13	912899	951923	39024	9	231	-0.228465130723544	951923	-0.200875021304656
3	14	1032375	1085814	53439	5	94	0.159349129072276	1071755	0.146692835077882
4	15	229537	264493	34956	11	315	-0.235763234707735	264493	-0.18435317765907
4	16	396828	587056	190228	7	37	0.183964030530008	551146	0.15310215387646
4	17	655206	675713	20507	2	98	0.215540547102475	655206	0.192212890191791
4	18	890254	935117	44863	8	178	0.214450600754243	890254	0.176958097447756
4	19	973644	1089461	115817	12	104	-0.229960119641077	1089461	-0.14933590694448
5	19	168062	170080	2018	2	991	0.272124509031075	170080	0.271937948361941
5	20	452244	627816	175572	2	11	0.317505950724906	452244	0.0835494110668625
5	21	772978	788196	15218	4	263	0.211463330950868	772978	0.204101077926853
5	22	823050	896768	73718	18	244	0.18542750837449	852215	0.124643200293898
6	23	80717	625691	544974	10	18	-0.241046163796588	619172	-0.0289825626233065
6	24	883768	883768	0	1	Inf	-0.126784984527706	883768	-0.126784984527706
6	25	998208	1067230	69022	11	159	-0.234375128943115	998208	-0.147742091048311
6	26	1150475	1182743	32268	45	1395	-0.185322376714175	1169196	-0.163937499801638
6	27	1235753	1253071	17318	5	289	0.21915265866383	1243062	0.214328373547838
7	27	32597	37406	4809	16	3327	-0.141390499698513	32597	-0.138168295145499
7	28	300162	411487	111325	28	252	-0.24148183188284	337183	-0.212871207477415
7	29	448015	448015	0	1	Inf	-0.139367220864529	448015	-0.139367220864529
7	30	492153	559344	67191	10	149	0.219266578035566	493335	0.184051204590133
7	31	666943	808308	141365	7	50	0.178869859072975	808308	0.154144509274655
7	32	860410	932569	72159	4	55	0.188630025073798	875319	0.184448934162625
7	33	963897	1065843	101946	94	922	-0.155028663382502	1025871	-0.125081742909277
7	34	1189417	1222320	32903	18	547	-0.192252757798472	1196878	-0.174944677377368
7	35	1249220	1300306	51086	17	333	-0.195713956735367	1277813	-0.156268988583588
8	36	26150	164995	138845	7	50	-0.436078042328042	81887	-0.324541252850974
8	37	203744	203744	0	1	Inf	0.146282697385402	203744	0.146282697385402
8	38	355261	445672	90411	3	33	0.190866669124675	355261	0.0699952887301241
8	39	475172	475172	0	1	Inf	0.119179428234957	475172	0.119179428234957
8	40	481474	587594	106120	19	179	0.259044881810942	587594	0.18401719357306
8	41	672421	674383	1962	2	1019	-0.135080558473777	674383	-0.133885951532937
8	42	724420	740270	15850	4	252	-0.151643675878002	724426	-0.146514260304073
8	43	1001137	1005724	4587	2	436	-0.172145971251541	1001137	-0.168097321582291
8	44	1031304	1063663	32359	15	464	-0.218741316313512	1050998	-0.195853328340005
8	45	1095126	1252793	157667	9	57	-0.238614333624405	1252793	-0.1805814765693
