CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	715530	684426	20	29	-0.529951135549674	31104	-0.26914883798302
1	2	755389	855001	99612	7	70	0.316774035579608	844126	0.0458282024987391
2	2	23546	23946	400	2	5000	0.319114149835673	23546	0.313096597990602
2	3	98233	115723	17490	6	343	-0.384809682650133	98233	-0.349209485469969
2	4	146433	167214	20781	11	529	0.184116872481699	163180	0.162447960520911
2	5	181477	801698	620221	81	131	-0.348990036688873	715999	-0.256464718103674
2	6	867406	928068	60662	8	132	-0.337330363568179	915396	-0.285328780924256
3	6	7056	127366	120310	35	291	-0.286440453059659	115535	-0.265560570889166
3	7	235069	668648	433579	31	71	-0.31255359589513	360495	-0.188718643182031
3	8	933539	995454	61915	16	258	-0.331854485515108	976435	-0.239182751810763
3	9	1071755	1071755	0	1	Inf	0.139528342596218	1071755	0.139528342596218
4	10	396828	912899	516071	17	33	-0.372848264938139	806864	-0.243283149607671
4	11	943013	1089461	146448	15	102	0.332729652729745	1089461	0.189917648316017
5	11	168062	170080	2018	2	991	0.249382624676954	170080	0.248791977696454
5	12	452244	1009579	557335	37	66	-0.494727128159818	813249	-0.346064463732562
6	12	80717	625691	544974	12	22	-0.407527244129873	529025	-0.317550844625582
6	13	938952	964653	25701	8	311	-0.26217003862242	952870	-0.21526474670398
6	14	1009390	1253071	243681	171	702	-0.434654466957585	1169196	-0.35948051747202
7	14	32597	210709	178112	43	241	-0.538543753004728	66127	-0.334711954229725
7	15	378869	1173363	794494	153	193	-0.348095250399587	379031	-0.310206295140067
7	16	1193605	1313116	119511	45	377	0.215714417724514	1296479	0.16954318357119
8	17	26150	81887	55737	4	72	-0.537008893391872	81887	-0.485342876126189
8	18	246363	246363	0	1	Inf	-0.156387346051678	246363	-0.156387346051678
8	19	355261	1026391	671130	126	188	-0.334473231494687	706200	-0.245532062789713
8	20	1063663	1238422	174759	13	74	0.355823415589171	1150042	0.252511045708105
