CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	132074	100970	10	99	-0.529674174449344	31104	-0.406886814620495
1	2	303924	303924	0	1	Inf	0.266816704176044	303924	0.266816704176044
1	3	773113	773113	0	1	Inf	-0.148840227155436	773113	-0.148840227155436
1	4	844126	855001	10875	2	184	-0.131087945987315	855001	-0.128251951604114
2	5	267621	267621	0	1	Inf	0.169194129488013	267621	0.169194129488013
3	6	339523	668648	329125	6	18	0.17128726587283	668648	0.0932054940134319
3	7	951923	951923	0	1	Inf	-0.140764123524573	951923	-0.140764123524573
3	8	1024093	1032375	8282	2	241	-0.139016809967569	1032375	-0.133426226504779
5	9	452244	627816	175572	2	11	-0.268541338797003	627816	-0.0209797538806506
5	10	737858	902822	164964	26	158	-0.466317852224286	737858	-0.182327634955255
6	11	257738	274285	16547	4	242	0.177779768205975	257738	0.158230407272286
6	12	1041532	1109275	67743	8	118	-0.184770342114264	1085318	-0.151094592344949
6	13	1151346	1182743	31397	43	1370	-0.193453095038603	1169196	-0.166151959330488
7	14	32597	185661	153064	42	274	-0.521313056942755	66127	-0.304868241639255
7	15	300162	422683	122521	30	245	0.217152613890418	308494	0.186362195447921
7	16	1073164	1079596	6432	4	622	0.208646189529558	1079596	0.193171532916526
8	17	26150	182668	156518	8	51	-0.328652828652829	81887	-0.260548921720176
8	18	246363	246363	0	1	Inf	-0.134634516083187	246363	-0.134634516083187
8	19	445672	495313	49641	11	222	-0.180798026591957	475172	-0.164840872697231
8	20	587594	663609	76015	28	368	0.148511922173429	645821	0.135647600427333
8	21	756899	828248	71349	15	210	0.172499919594235	783560	0.15358568697767
8	22	836332	836332	0	1	Inf	0.136446427241762	836332	0.136446427241762
8	23	979720	1053158	73438	20	272	0.284663536962501	1019097	0.196386286223821
8	24	1238422	1252793	14371	3	209	-0.181175219782662	1252793	-0.164298183843659
