CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	132074	100970	15	149	-0.53032165402475	31104	-0.418518571308721
1	2	303924	303924	0	1	Inf	0.322223868068928	303924	0.322223868068928
1	3	773113	773113	0	1	Inf	-0.126955928385094	773113	-0.126955928385094
2	4	267621	267621	0	1	Inf	0.139267392039258	267621	0.139267392039258
3	5	339523	668648	329125	6	18	0.175925804597129	668648	0.0930248317844409
3	6	951923	951923	0	1	Inf	-0.143223127517362	951923	-0.143223127517362
3	7	1032375	1032375	0	1	Inf	-0.148704172155841	1032375	-0.148704172155841
5	8	452244	830697	378453	22	58	-0.437447139039252	737858	-0.171908039213942
5	9	863560	863560	0	1	Inf	-0.127142364917468	863560	-0.127142364917468
6	10	257738	278218	20480	6	293	0.176117263282947	257738	0.169556978088888
6	11	619172	625691	6519	2	307	0.148850825996493	619172	0.146943808215061
6	12	973643	998208	24565	3	122	-0.152672614180867	998208	-0.135696237472157
6	13	1031627	1109275	77648	9	116	-0.138153305102233	1085318	-0.129549076460255
6	14	1149551	1182743	33192	46	1386	-0.196184755004272	1169196	-0.169907850027383
7	15	32597	185661	153064	41	268	-0.520713795740691	66127	-0.325775757100994
7	16	300162	422683	122521	30	245	0.213114467348392	305857	0.177506669036341
7	17	1073164	1079596	6432	4	622	0.235691676339885	1079596	0.213749751357823
8	18	26150	182668	156518	8	51	-0.293169793169793	81887	-0.25136577752548
8	19	475172	495313	20141	9	447	-0.14255823751691	477170	-0.137946011802091
8	20	606856	681613	74757	30	401	0.174531681080195	645821	0.145372013286242
8	21	756899	874728	117829	24	204	0.178157000897263	805928	0.166182649181611
8	22	892813	892813	0	1	Inf	0.133506867333642	892813	0.133506867333642
8	23	897276	930103	32827	9	274	0.147783922582517	919875	0.142396389138507
8	24	966913	1045891	78978	18	228	0.285705293085942	1019097	0.193797487108704
8	25	1252306	1252793	487	2	4107	-0.157207587649431	1252793	-0.156956601629392
