CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	855001	823897	28	34	-0.526936405991558	31104	-0.177258710018018
2	1	23546	23946	400	2	5000	0.385720147415627	23546	0.378829397920785
2	2	98233	115723	17490	6	343	-0.38334482199998	98233	-0.352243036614666
2	3	181477	801698	620221	79	127	-0.348460609026381	388085	-0.273160680010554
2	4	867406	928068	60662	8	132	-0.327969502900747	915396	-0.276490784353175
3	4	7056	138894	131838	39	296	-0.307875440132882	7056	-0.262812584489397
3	5	231270	668648	437378	41	94	-0.307854906492041	360495	-0.185938204935941
3	6	933539	993766	60227	15	249	-0.326649297420996	976435	-0.247405490739904
4	7	396828	912899	516071	16	31	-0.383736107539744	806864	-0.242889102178035
4	8	943013	1089461	146448	15	102	0.332461181179044	962743	0.191551154810569
5	8	168062	170080	2018	2	991	0.27507185951737	170080	0.274570866004956
5	9	452244	666859	214615	6	28	-0.364645429288161	627816	-0.200749386929939
5	10	737858	936793	198935	29	146	-0.487327289419633	813249	-0.406382372339528
5	11	1009579	1009579	0	1	Inf	0.35202614379085	1009579	0.35202614379085
6	11	80717	625691	544974	11	20	-0.419399949148233	529025	-0.311022517567213
6	12	938952	969109	30157	9	298	-0.262951213955866	952870	-0.209223312681005
6	13	1009390	1253071	243681	170	698	-0.444917086803815	1169196	-0.352453873166082
7	13	32597	210709	178112	40	225	-0.540522173163303	66127	-0.330457409054094
7	14	378869	1173363	794494	149	188	-0.372592035356702	379031	-0.314975193181458
7	15	1193605	1316362	122757	46	375	0.208646667029289	1264881	0.164112743889078
8	15	26150	164995	138845	6	43	-0.524003434998199	81887	-0.36568379465989
8	16	246363	246363	0	1	Inf	-0.177090982755565	246363	-0.177090982755565
8	17	355261	1026391	671130	126	188	-0.35019625372181	355261	-0.245390276918408
8	18	1058585	1238422	179837	14	78	0.337373098677113	1070455	0.249415267602685
