CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	855001	823897	28	34	-0.495677361013309	31104	-0.152762519235332
2	1	23546	23946	400	2	5000	0.313803086560628	23546	0.308251862643114
2	2	98233	115723	17490	6	343	-0.352455698972328	98233	-0.327836468126163
2	3	151591	167214	15623	6	384	0.164202582955409	160241	0.147681274279889
2	4	181477	801698	620221	79	127	-0.346393965935983	715999	-0.276417522479798
2	5	867406	928068	60662	8	132	-0.336405309840119	915396	-0.274584078715887
3	5	7056	127366	120310	35	291	-0.326361961254573	7056	-0.279545240571448
3	6	237796	668648	430852	21	49	-0.290804117725459	360495	-0.180772487547818
3	7	933539	995454	61915	16	258	-0.323887055061721	976435	-0.231385074687582
4	8	396828	912899	516071	16	31	-0.360413774340446	806864	-0.236182673091034
4	9	943013	1089461	146448	15	102	0.316108541543257	1089461	0.185700375372067
5	9	168062	170080	2018	2	991	0.206491765041955	170080	0.205623867803388
5	10	452244	666859	214615	6	28	-0.382128346633845	627816	-0.193977999843438
5	11	737858	936793	198935	28	141	-0.485616770742578	813249	-0.403465232694252
5	12	1009579	1009579	0	1	Inf	0.341811479726172	1009579	0.341811479726172
6	12	80717	625691	544974	11	20	-0.404336312479312	80717	-0.28757547359739
6	13	932620	964653	32033	9	281	-0.253284481842514	952870	-0.205061270169119
6	14	1009390	1253071	243681	169	694	-0.425942688636055	1169196	-0.34828231694429
7	14	32597	210709	178112	42	236	-0.538796432116229	66127	-0.310089068361444
7	15	378869	1173363	794494	153	193	-0.362780710090174	379031	-0.269264401610414
7	16	1219760	1300306	80546	29	360	0.210198120725547	1260268	0.170662197360457
8	17	26150	81887	55737	3	54	-0.531938431938432	81887	-0.477616491929295
8	18	178552	246363	67811	4	59	0.194622951356859	182668	0.0189667660322717
8	19	355261	1026391	671130	126	188	-0.359058971269469	370306	-0.212558643355259
8	20	1057093	1154740	97647	14	143	0.360120159557828	1150042	0.270209753878481
