CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	109428	78324	15	192	-0.487743199462834	31104	-0.363045364690109
1	2	303924	698027	394103	2	5	0.245357083951839	303924	0.182515687147436
1	3	732150	732150	0	1	Inf	0.17443032064122	732150	0.17443032064122
2	4	40644	41909	1265	2	1581	-0.186666321293864	40644	-0.184299538062193
2	5	229557	267621	38064	6	158	0.152798403378288	237046	0.14463166725548
2	6	304525	305137	612	2	3268	0.133995454240718	305137	0.133564087231906
2	7	352109	365814	13705	4	292	0.13941392593374	359393	0.134715354017846
2	8	411698	423427	11729	4	341	0.143229257631463	411698	0.136391448104067
2	9	463571	557007	93436	4	43	0.133806054915462	545038	0.129507207239045
2	10	822759	822759	0	1	Inf	0.156580462208122	822759	0.156580462208122
4	11	216867	237812	20945	13	621	0.182634386892857	216867	0.176187596032879
4	12	396828	408855	12027	3	249	0.135595553033844	396828	0.131853763655166
4	13	655206	655206	0	1	Inf	0.161409958284219	655206	0.161409958284219
4	14	890254	912899	22645	4	177	0.1642492752807	890254	0.14546493915788
5	15	627816	846555	218739	26	119	-0.406591018930514	737858	-0.209428508676795
5	16	895743	902822	7079	3	424	-0.138469473167823	895743	-0.135664283935821
5	17	948785	948785	0	1	Inf	-0.150881129954564	948785	-0.150881129954564
6	18	80717	80717	0	1	Inf	0.170143828038565	80717	0.170143828038565
6	19	619172	974726	355554	25	70	0.194933363500695	946007	0.156940619141933
6	20	1159922	1182743	22821	29	1271	-0.157625757822181	1169196	-0.142495304166423
7	21	32597	210709	178112	41	230	-0.512858115829474	66127	-0.307936210338446
7	22	509033	526169	17136	3	175	-0.20107635534865	520137	-0.176373313509004
7	23	606760	610009	3249	3	923	-0.172254428135093	606760	-0.17172084402398
7	24	713340	722064	8724	2	229	-0.144004994296946	713340	-0.140915931652414
7	25	767446	768936	1490	2	1342	-0.138273316767503	767446	-0.138177166833706
7	26	821339	837666	16327	4	245	-0.151075428437744	837666	-0.140763949469946
7	27	949719	970131	20412	13	637	-0.138748368590233	963897	-0.134273098982622
7	28	1050552	1065843	15291	91	5951	-0.152173844783366	1050552	-0.149665521898445
7	29	1189417	1200973	11556	4	346	-0.132155973185426	1194057	-0.128855774554171
8	30	26150	182668	156518	7	45	-0.371669359693312	81887	-0.26971699060483
8	31	246363	300392	54029	5	93	-0.247610494885227	300392	-0.223787759135183
8	32	1070238	1099591	29353	7	238	0.183332078263963	1077854	0.147716209393205
