CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	715530	684426	19	28	-0.356631298853647	52322	-0.127456341435704
1	2	773113	773113	0	1	Inf	-0.162911409347408	773113	-0.162911409347408
1	3	844126	855001	10875	2	184	0.306476183558341	855001	0.302211654974695
2	3	23546	23946	400	2	5000	0.234874451095242	23546	0.231074555563377
2	4	98233	136116	37883	8	211	-0.377511292667927	98233	-0.300424365758918
2	5	181477	785378	603901	75	124	-0.353202188812934	715999	-0.274656670116909
2	6	822759	928068	105309	9	85	-0.270385074887062	928068	-0.175352279996221
3	6	7056	118260	111204	34	306	-0.315878559933147	7056	-0.272873811194198
3	7	248344	360495	112151	12	107	-0.226947986642938	360495	-0.163151634413924
3	8	933539	998674	65135	17	261	-0.276973255984818	976435	-0.214433131673379
4	9	216867	237812	20945	13	621	0.183740530487601	216867	0.179302802270904
4	10	293035	408855	115820	7	60	0.188838719473735	320981	0.0360780027418065
4	11	551146	900323	349177	10	29	-0.304783587167007	625854	-0.225871943342712
4	12	928639	962743	34104	6	176	0.276068937473358	943332	0.218539515583599
4	13	1089461	1089461	0	1	Inf	-0.299925281891047	1089461	-0.299925281891047
5	13	168062	170080	2018	2	991	0.153035717799168	168062	0.152952692306878
5	14	452244	666859	214615	6	28	-0.364133598689466	627816	-0.160846354859381
5	15	737858	902822	164964	26	158	-0.46970226460385	813249	-0.394137932638841
5	16	1009579	1009579	0	1	Inf	0.308014571948998	1009579	0.308014571948998
6	16	80717	953911	873194	28	32	-0.388913154254932	80717	-0.21936184572408
6	17	1023215	1253071	229856	169	735	-0.374778076985588	1253071	-0.268127309844755
7	17	32597	379031	346434	66	191	-0.449381489441477	66127	-0.229687243233649
7	18	448015	1173363	725348	149	205	-0.282922073207226	606760	-0.23570549611647
7	19	1255902	1268667	12765	9	705	0.134613657599114	1260268	0.132853342925936
8	20	26150	132714	106564	5	47	-0.526155535589498	81887	-0.422391526388501
8	21	355261	370306	15045	2	133	-0.311705755430822	370306	-0.299222792814859
8	22	520584	526923	6339	3	473	-0.12763660191388	520880	-0.127312667255887
8	23	534633	534633	0	1	Inf	-0.121884740708016	534633	-0.121884740708016
8	24	566065	818732	252667	57	226	-0.208035525736008	706200	-0.168395405369031
8	25	852203	970433	118230	31	262	-0.192995984645544	945822	-0.165765260584468
8	26	1005724	1154740	149016	31	208	0.322273658629085	1019097	0.229533949129249
8	27	1252306	1252793	487	2	4107	0.140503976716135	1252793	0.13975388744485
