CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	303924	715530	411606	3	7	0.357652388153413	698027	0.316809997944027
1	2	844126	855001	10875	2	184	0.240005016572992	844126	0.239896490275107
2	2	23546	23946	400	2	5000	0.150004027235225	23546	0.147716494214452
2	3	65932	785378	719446	93	129	-0.366242119519572	715999	-0.23949789050826
2	4	822759	822759	0	1	Inf	0.246153672961145	822759	0.246153672961145
2	5	882846	928068	45222	5	111	-0.25530027490165	915396	-0.243904686480203
3	5	7056	118260	111204	34	306	-0.301693843538138	7056	-0.239574441886962
3	6	163073	163073	0	1	Inf	0.131456821158171	163073	0.131456821158171
3	7	173820	173820	0	1	Inf	0.137889475191705	173820	0.137889475191705
3	8	250427	252367	1940	4	2062	-0.157612739281441	252367	-0.152492359646852
3	9	339523	914553	575030	17	30	0.162867226109483	348766	0.0614494710432058
3	10	976435	1004905	28470	11	386	-0.206554074738373	986577	-0.191920611200341
3	11	1024093	1032375	8282	2	241	-0.174115158007167	1032375	-0.149957380522499
4	12	216867	320981	104114	19	182	0.332705261233307	320981	0.261336079029357
4	13	551146	625854	74708	4	54	-0.205594822216806	625854	-0.168299450519669
4	14	675713	900323	224610	5	22	-0.28874748242835	806864	-0.187728467707432
4	15	923333	962743	39410	7	178	0.24241232897453	943332	0.199561640841904
4	16	1089461	1089461	0	1	Inf	-0.355285592497869	1089461	-0.355285592497869
5	17	627816	659024	31208	4	128	-0.418233215547703	627816	-0.263964685558709
5	18	737858	902822	164964	26	158	-0.471637342924683	813249	-0.382129374707517
5	19	1009579	1009579	0	1	Inf	0.221978913219789	1009579	0.221978913219789
6	19	80717	953911	873194	29	33	-0.31116289554644	926355	-0.237958197172442
6	20	1023215	1113482	90267	12	133	-0.371030726615158	1024745	-0.24047254059446
6	21	1148396	1253071	104675	63	602	-0.299666307994478	1253071	-0.181138722102628
7	22	49049	129380	80331	15	187	-0.319787503764329	102114	-0.282938649376833
7	23	300162	379031	78869	27	342	-0.407114911190762	379031	-0.357526375132591
7	24	520137	526169	6032	2	332	-0.190454671828651	520137	-0.180899308550097
7	25	606760	837666	230906	14	61	-0.203484329071632	606760	-0.170043074411763
7	26	949719	963897	14178	12	846	-0.144922694496925	950637	-0.144306114653636
7	27	1025871	1079596	53725	96	1787	-0.191687498442403	1050552	-0.187908655969344
7	28	1173363	1173363	0	1	Inf	-0.126480112588015	1173363	-0.126480112588015
8	29	26150	81887	55737	4	72	-0.52249801399943	81887	-0.46852474528917
8	30	178552	182668	4116	2	486	0.186511603266314	178552	0.184825257873635
8	31	246363	246363	0	1	Inf	0.138928178532139	246363	0.138928178532139
8	32	355261	370306	15045	2	133	-0.313299733972686	370306	-0.30308734253392
8	33	615371	637861	22490	17	756	-0.15152404285708	629218	-0.145424824671255
8	34	663609	756899	93290	14	150	-0.171561218306098	681613	-0.151426135142459
8	35	865009	884617	19608	7	357	-0.148697882732725	874728	-0.142491490636614
8	36	930103	952484	22381	7	313	-0.131622019808753	930103	-0.128107557032867
8	37	1005724	1252793	247069	34	138	0.391421177342324	1025503	0.251680017938347
