CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	73671	136286	62615	5	80	-0.380873214298461	107180	-0.339002084933042
1	2	758101	855001	96900	5	52	-0.365005192107996	758101	-0.079697405231811
2	2	41909	65932	24023	3	125	-0.385571435930095	41909	-0.319817970753578
2	3	202948	570663	367715	33	90	-0.434833062865863	229557	-0.305713826104649
2	4	611546	703900	92354	8	87	-0.388308092326026	620053	-0.289757614654997
2	5	750166	801698	51532	3	58	-0.509710144927536	750166	-0.301868012971345
3	6	127366	152407	25041	8	319	0.278572398391565	135390	0.234820268881048
3	7	223545	223545	0	1	Inf	0.217068549913394	223545	0.217068549913394
3	8	914553	976435	61882	2	32	-0.294190742466604	914553	-0.0194648499035002
3	9	1019826	1019826	0	1	Inf	-0.215430901489888	1019826	-0.215430901489888
4	10	256412	408855	152443	5	33	-0.468599033816425	293035	-0.287413839382961
4	11	1004085	1004085	0	1	Inf	-0.201035179574673	1004085	-0.201035179574673
5	12	695336	695336	0	1	Inf	-0.322902677052556	695336	-0.322902677052556
5	13	826951	828710	1759	3	1706	-0.256838580906641	826951	-0.251219662222553
5	14	863560	863560	0	1	Inf	-0.410123000258062	863560	-0.410123000258062
5	15	923631	923631	0	1	Inf	-0.405488983378431	923631	-0.405488983378431
6	16	257738	278218	20480	7	342	-0.449376699638031	274285	-0.432912283178309
6	17	717905	717905	0	1	Inf	-0.306382425581698	717905	-0.306382425581698
6	18	883768	897010	13242	6	453	-0.375220713907663	883768	-0.326328389892523
6	19	973643	1009390	35747	3	84	-0.196843987177262	974726	-0.180098462431988
6	20	1048630	1067230	18600	4	215	-0.222653916100597	1067230	-0.193086106573529
6	21	1153867	1214010	60143	13	216	-0.356275910562621	1214010	-0.270748370893856
7	22	33460	37406	3946	18	4562	-0.358121151665323	33460	-0.356688827253277
7	23	85330	200215	114885	11	96	-0.402532409247018	200215	-0.317563775758895
7	24	334563	361046	26483	12	453	0.248152038861811	347124	0.234975265449479
7	25	606760	610009	3249	3	923	-0.425799751705103	606760	-0.424524478564574
7	26	767446	767446	0	1	Inf	-0.388640210645101	767446	-0.388640210645101
7	27	949719	1025871	76152	9	118	-0.302636723095777	950637	-0.29332933897602
7	28	1173363	1173363	0	1	Inf	-0.362286499715612	1173363	-0.362286499715612
7	29	1222178	1312184	90006	18	200	-0.465171022517885	1240882	-0.312105038033611
8	29	26150	35881	9731	3	308	0.225161270896106	35881	0.221282121087071
8	30	164962	164995	33	2	60606	-0.183424975673869	164962	-0.183337143417622
8	31	246363	300392	54029	4	74	-0.539119552440754	300392	-0.475466629673043
8	32	606856	609986	3130	2	639	0.31279818090233	606856	0.282850636044559
8	33	643053	645821	2768	6	2168	0.2395566412377	645821	0.235535572592541
8	34	695441	695441	0	1	Inf	0.260076402189591	695441	0.260076402189591
8	35	854358	891449	37091	9	243	0.320517695616904	854358	0.28848887519896
8	36	907220	930103	22883	4	175	0.226069157729335	912569	0.205120589435972
8	37	1018603	1019097	494	2	4049	0.242266553565644	1018603	0.238272417789841
8	38	1232237	1238422	6185	2	323	-0.237735026660364	1238422	-0.236928169720215
