CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	109428	78324	15	192	-0.272318068715145	31104	-0.231313670010813
1	2	303924	732150	428226	4	9	-0.323268952831428	303924	-0.259654044434308
1	3	773113	814587	41474	3	72	0.241342177315416	814587	0.108074899623275
2	4	40644	60284	19640	4	204	-0.320662946622738	40644	-0.235612877842067
2	5	111770	136116	24346	5	205	-0.181520786392095	129854	-0.158966703910653
2	6	267621	267621	0	1	Inf	-0.139781225214151	267621	-0.139781225214151
2	7	352109	398419	46310	8	173	-0.195155491047303	352109	-0.182961958974627
2	8	430031	430031	0	1	Inf	-0.135246919483674	430031	-0.135246919483674
2	9	545038	611546	66508	10	150	-0.185619899899594	588254	-0.159124822341571
2	10	645307	715999	70692	15	212	-0.319271721012822	715999	-0.223342667956906
2	11	867406	928068	60662	8	132	0.405458348962707	867406	0.265927619533232
3	11	7056	10626	3570	2	560	0.179825194684509	7056	0.165970864048495
3	12	76579	218094	141515	38	269	0.359188582482747	96554	0.300808375853564
4	13	229537	408855	179318	18	100	-0.316240842676348	261851	-0.155134212190693
4	14	977018	978613	1595	4	2508	-0.127286227424867	978613	-0.125799966221346
4	15	1089461	1089461	0	1	Inf	0.186824729891957	1089461	0.186824729891957
5	15	168062	170080	2018	2	991	-0.148041235873268	168062	-0.148025033313478
5	16	838123	902822	64699	11	170	-0.270599330704241	863560	-0.20372724098953
5	17	936793	1009579	72786	3	41	-0.258562446102579	948785	-0.205991454288558
6	18	257738	553964	296226	9	30	-0.178776573782533	553964	-0.160351064926703
6	19	857791	1227764	369973	188	508	-0.409883571831564	857791	-0.235537607071819
7	20	32597	116536	83939	31	369	-0.202037879291907	37406	-0.17674331358681
7	21	165357	210709	45352	10	220	-0.250007439165262	172987	-0.228392282921957
7	22	318927	1079596	760669	161	212	-0.39450334865921	520137	-0.212765493481346
7	23	1189417	1316362	126945	46	362	-0.283750365559163	1287197	-0.205945434203507
8	24	132714	132714	0	1	Inf	0.170603417295567	132714	0.170603417295567
8	25	178552	182668	4116	2	486	-0.196256831819265	182668	-0.183346653544827
8	26	246363	370306	123943	7	56	-0.286551359850625	246363	-0.142762850080148
8	27	462119	495313	33194	10	301	-0.141725588110562	475172	-0.137983361401948
8	28	526923	546395	19472	5	257	-0.137926778545765	534633	-0.132375401483372
8	29	566065	581205	15140	3	198	-0.157947372442227	575867	-0.148391502113539
8	30	637861	645821	7960	8	1005	0.154805628018229	645821	0.147580360241478
8	31	780115	853182	73067	17	233	0.178020450982567	805928	0.162568157596511
8	32	865009	945822	80813	22	272	0.157247999717283	891449	0.142041513980151
8	33	1070238	1077854	7616	3	394	0.173065840065747	1077854	0.17103284528083
8	34	1238422	1252793	14371	3	209	-0.36972683201516	1252793	-0.369192769445042
