CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	136286	105182	17	162	-0.514882837259663	31104	-0.36587019059189
2	2	40644	41909	1265	2	1581	-0.159769517728194	40644	-0.157777479445028
2	3	98233	98245	12	3	250000	-0.134541447301292	98233	-0.134515567627927
2	4	915396	928068	12672	4	316	-0.242752772524553	915396	-0.232874564905246
3	5	668648	668648	0	1	Inf	-0.215337675291909	668648	-0.215337675291909
3	6	976435	998674	22239	10	450	-0.142248971398721	986577	-0.137391002420355
3	7	1032375	1032375	0	1	Inf	-0.142034550483017	1032375	-0.142034550483017
4	8	587056	587056	0	1	Inf	-0.126740173110074	587056	-0.126740173110074
4	9	791159	806864	15705	2	127	-0.236414860115429	806864	-0.203692795359716
4	10	994328	1089461	95133	6	63	-0.17749658002736	1089461	-0.157769059831048
5	11	452244	747783	295539	9	30	-0.218331299447797	737858	-0.128409893945821
5	12	823050	845569	22519	12	533	-0.158330410611498	825723	-0.15131555952684
5	13	895743	902822	7079	3	424	-0.230314311689938	895743	-0.227823303904611
6	14	80717	80717	0	1	Inf	-0.136377940366612	80717	-0.136377940366612
6	15	274285	529025	254740	3	12	-0.233183831486874	529025	-0.173033070661745
6	16	857791	897010	39219	7	178	-0.143362555206114	883768	-0.131091664548091
6	17	998208	1128864	130656	44	337	-0.213617844750314	998208	-0.154865159108262
6	18	1128917	1129201	284	5	17606	-0.128110790303207	1128917	-0.12793204573061
6	19	1129661	1129886	225	5	22222	-0.126557215980635	1129661	-0.126325432714767
6	20	1130369	1130432	63	3	47619	-0.125078814609155	1130369	-0.125013386299871
6	21	1143769	1182743	38974	58	1488	-0.224271459112654	1169196	-0.185943251697567
7	22	32597	210709	178112	42	236	-0.446387895579615	61650	-0.276078460972052
7	23	520137	526169	6032	2	332	-0.166820398269532	520137	-0.15501482628297
7	24	606760	610009	3249	3	923	-0.1802690060365	606760	-0.179707905256086
7	25	767446	768936	1490	2	1342	-0.12471694878554	768936	-0.124559884051392
7	26	821339	837666	16327	4	245	-0.162491414888385	837666	-0.150500386784126
7	27	932569	963897	31328	13	415	-0.191664266389455	949719	-0.183059537477831
7	28	1050552	1073164	22612	91	4024	-0.149634280838425	1050552	-0.148573360654816
7	29	1148344	1150749	2405	2	832	-0.124998325281627	1148344	-0.124290608413198
7	30	1173363	1219760	46397	16	345	-0.195641297283533	1200973	-0.179761647742947
8	31	26150	300392	274242	14	51	-0.424968629125108	81887	-0.242034644149511
8	32	370306	370306	0	1	Inf	-0.150419893913085	370306	-0.150419893913085
