CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	109428	78324	14	179	-0.404424818154226	31104	-0.287772238660684
1	2	303924	303924	0	1	Inf	0.2531328320802	303924	0.2531328320802
1	3	715530	755389	39859	3	75	-0.206642584601755	732150	-0.191097980049875
1	4	844126	844126	0	1	Inf	0.152627983221759	844126	0.152627983221759
2	5	146433	202948	56515	25	442	0.17317807500203	189352	0.16770602437112
2	6	237046	304525	67479	15	222	0.239441964079996	282383	0.208712545860472
2	7	398419	416247	17828	4	224	0.148943240957231	411698	0.142582616059232
2	8	463571	589928	126357	11	87	0.243957981446922	588254	0.212391010145446
2	9	645307	657159	11852	4	337	0.207257032101437	657159	0.204836219065051
3	10	7056	34627	27571	12	435	-0.168352555643733	15813	-0.163540879627101
3	11	76579	76579	0	1	Inf	-0.159498720212528	76579	-0.159498720212528
3	12	343070	668648	325578	5	15	-0.382630377313146	668648	-0.199613531328004
3	13	933539	941957	8418	6	713	-0.180437398864323	934851	-0.173619925620394
4	14	911755	943332	31577	8	253	0.209036952317905	928639	0.193053276586646
5	15	170080	308830	138750	2	14	0.259325690386253	308830	0.203212307395823
5	16	655171	695336	40165	5	124	-0.323069489356505	695336	-0.221054012360023
5	17	772978	788196	15218	4	263	0.169955105248879	788196	0.153228324031312
6	18	274285	910145	635860	14	22	0.335616438356164	529025	0.174930996433019
6	19	998208	1024745	26537	3	113	0.227782098720317	998208	0.174284007279525
6	20	1085318	1085318	0	1	Inf	0.220877357480515	1085318	0.220877357480515
7	21	37405	129380	91975	11	120	-0.432716471491623	85330	-0.380022758487107
7	22	306198	361046	54848	21	383	0.260637466474259	335845	0.199610871530786
7	23	422683	448015	25332	2	79	0.211247086247086	422683	0.192541043434843
7	24	500630	500630	0	1	Inf	-0.137959692332069	500630	-0.137959692332069
7	25	606760	666943	60183	4	66	0.183905176297979	606760	0.172565998370146
7	26	722064	735689	13625	2	147	0.135849554680955	735689	0.131273959845033
7	27	821339	866854	45515	6	132	0.177007998491183	860410	0.155815779129467
7	28	932569	970131	37562	14	373	0.277734325625948	950637	0.262327458314993
7	29	1146918	1211197	64279	22	342	-0.238378305323828	1146918	-0.170479040835476
7	30	1255902	1277813	21911	9	411	-0.182247540484014	1267786	-0.162456661236089
7	31	1296479	1313116	16637	5	301	-0.241856229887795	1313116	-0.183347411083311
8	31	26150	28612	2462	2	812	-0.311452273031033	26150	-0.310018817905875
8	32	182668	182668	0	1	Inf	-0.193852672403392	182668	-0.193852672403392
8	33	370306	509259	138953	12	86	-0.256283921854028	477170	-0.227735875199818
8	34	520880	520880	0	1	Inf	-0.129147342538527	520880	-0.129147342538527
8	35	756899	789174	32275	7	217	-0.158319969389823	783560	-0.146423222581972
8	36	1034063	1063663	29600	14	473	0.288433810640229	1050998	0.26579776718964
8	37	1095126	1096950	1824	2	1096	-0.131709417359341	1096950	-0.130531560169226
