CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	303924	272820	15	55	-0.453706257751236	31104	-0.348767061143409
2	2	55683	65932	10249	4	390	-0.209395328319417	65932	-0.203363908046715
2	3	915396	928068	12672	4	316	-0.1693699102768	915396	-0.164774634184982
3	4	1014545	1032375	17830	4	224	-0.134768753846522	1019826	-0.131343174707611
4	5	216867	264493	47626	16	336	-0.206548180398799	230517	-0.191634471248204
4	6	425449	425449	0	1	Inf	-0.133632082686198	425449	-0.133632082686198
4	7	890254	900323	10069	2	199	-0.193165238538474	890254	-0.182569039418158
5	8	308830	308830	0	1	Inf	0.15683543612431	308830	0.15683543612431
5	9	655171	695336	40165	5	124	-0.234924495794061	695336	-0.195970344940017
5	10	772978	773357	379	2	5277	0.126259532233897	773357	0.125930605816868
5	11	845569	863560	17991	5	278	-0.170354248342336	863560	-0.145743352622564
6	12	258545	278218	19673	5	254	-0.258411695571317	278218	-0.191337963751739
6	13	883768	897010	13242	6	453	-0.185635032633575	890729	-0.181921238113023
6	14	931044	946007	14963	7	468	-0.159148365784316	932620	-0.152233392135601
6	15	1041532	1056029	14497	4	276	-0.217783783089976	1048868	-0.205093075127173
6	16	1182743	1184912	2169	2	922	-0.142724331295248	1184912	-0.139759956073505
7	17	32597	102114	69517	13	187	-0.355182225840796	61650	-0.297972038767653
7	18	129380	210709	81329	12	148	-0.200749843579228	210709	-0.149215863628741
7	19	361046	361046	0	1	Inf	-0.149910062735676	361046	-0.149910062735676
7	20	422683	422683	0	1	Inf	-0.176931939028713	422683	-0.176931939028713
7	21	526169	537185	11016	2	182	-0.177194542126467	537185	-0.148361672447761
7	22	808308	808308	0	1	Inf	-0.139669172238295	808308	-0.139669172238295
7	23	1025871	1025871	0	1	Inf	-0.129385948367702	1025871	-0.129385948367702
7	24	1075327	1200973	125646	16	127	-0.17801221040656	1189417	-0.14987940383604
8	25	26150	182668	156518	6	38	-0.384583714982507	28612	-0.277099577593925
8	26	299740	300392	652	4	6135	0.142335581433883	300392	0.142317701598829
8	27	370306	370306	0	1	Inf	-0.167455681034039	370306	-0.167455681034039
8	28	1090645	1096950	6305	3	476	0.222596149422022	1096950	0.214872216437132
