CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	303924	272820	16	59	-0.417013004261888	74017	-0.325954399629076
1	2	755389	758101	2712	2	737	0.164781933106963	755389	0.164232278365168
2	3	55683	65932	10249	4	390	-0.186959555247256	65932	-0.179274937320316
2	4	111770	129854	18084	4	221	-0.182317239934861	115723	-0.168244509693712
2	5	882846	928068	45222	5	111	-0.163061810952186	882846	-0.153318870928805
3	6	668648	668648	0	1	Inf	-0.291306176399904	668648	-0.291306176399904
3	7	1007113	1032375	25262	5	198	-0.140645439032041	1014545	-0.132624699132684
4	8	216867	264493	47626	16	336	-0.213041456920598	230324	-0.195379400507128
4	9	408855	425449	16594	2	121	-0.149868468717233	425449	-0.14477538699854
5	10	308830	308830	0	1	Inf	0.178925284721977	308830	0.178925284721977
5	11	655171	695336	40165	6	149	-0.158164462016598	655171	-0.148034228129181
5	12	863560	863560	0	1	Inf	-0.162315344141014	863560	-0.162315344141014
6	13	266547	278218	11671	3	257	-0.201173305033573	278218	-0.163330056990311
6	14	883768	897010	13242	6	453	-0.193807932936232	883768	-0.190312005534544
6	15	938952	938952	0	1	Inf	-0.139464036074437	938952	-0.139464036074437
6	16	1041532	1056029	14497	4	276	-0.194732821820292	1048868	-0.183583011032237
6	17	1175808	1184912	9104	3	330	-0.148248034283338	1182743	-0.142355928713703
7	18	60420	102114	41694	10	240	-0.285398406345777	61650	-0.25801257710283
7	19	155222	155222	0	1	Inf	-0.127785410036765	155222	-0.127785410036765
7	20	200215	210709	10494	2	191	-0.189482992669716	210709	-0.171608793977116
7	21	361046	361046	0	1	Inf	-0.127981474029078	361046	-0.127981474029078
7	22	520137	537185	17048	3	176	-0.166523990779505	537185	-0.147350405611367
7	23	666943	666943	0	1	Inf	-0.142886643792096	666943	-0.142886643792096
7	24	808308	808308	0	1	Inf	-0.131877745135008	808308	-0.131877745135008
7	25	1146918	1150990	4072	6	1473	-0.138458820399212	1146918	-0.13582656071556
7	26	1173363	1211197	37834	15	396	-0.182633220126923	1189417	-0.143493470002555
8	27	26150	182668	156518	6	38	-0.356941981050921	28612	-0.281887083445888
8	28	1090645	1096950	6305	3	476	0.16881829399088	1096950	0.161507633561758
