CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	87126	56022	12	214	-0.395358117060984	73671	-0.369122836504547
1	2	132074	136286	4212	2	475	-0.168075752200137	136286	-0.155493983824173
1	3	755389	855001	99612	7	70	0.245427906425773	807015	0.218384503923414
2	3	23546	65932	42386	8	189	-0.323758603046155	23546	-0.298906591060311
2	4	136116	136116	0	1	Inf	0.146012041216969	136116	0.146012041216969
2	5	159333	620053	460720	68	148	-0.344986696879714	430031	-0.236247442077111
2	6	715999	822759	106760	5	47	-0.234847511460746	801683	-0.0480936751309463
3	7	7056	224719	217663	56	257	-0.295074772317193	192170	-0.199450653759486
3	8	278239	1085814	807575	35	43	-0.382630377313146	668648	-0.301592165054606
4	8	216867	264493	47626	16	336	-0.366775430657107	216867	-0.353258938870189
4	9	396828	425449	28621	4	140	-0.180242166054605	396828	-0.177764991666174
4	10	587056	900323	313267	8	26	-0.29947136791845	890254	-0.237557367260369
4	11	1003595	1004085	490	2	4082	-0.148880155355201	1004085	-0.147926754661328
5	12	170080	170080	0	1	Inf	-0.143564895470383	170080	-0.143564895470383
5	13	452244	452244	0	1	Inf	-0.241238620819773	452244	-0.241238620819773
5	14	666859	695336	28477	2	70	-0.187296037296037	695336	-0.166363115452386
5	15	772978	902822	129844	23	177	-0.219934285118064	863560	-0.181897989787767
6	16	80717	857791	777074	13	17	-0.349668205576898	278218	-0.225301907534726
6	17	1042552	1042552	0	1	Inf	-0.120151572969294	1042552	-0.120151572969294
6	18	1113482	1202673	89191	148	1659	-0.311355167187528	1142134	-0.26967189686884
7	19	37405	102114	64709	12	185	-0.338244600014946	37405	-0.285370379964416
7	20	129380	155222	25842	2	77	-0.142690774987351	155222	-0.135377629967039
7	21	172677	210709	38032	6	158	-0.327635261153652	210709	-0.212839829641835
7	22	347124	422683	75559	13	172	-0.246679356570308	361046	-0.199418693654497
7	23	469460	537185	67725	9	133	-0.215346768051817	537185	-0.176796405996733
7	24	666943	666943	0	1	Inf	-0.164574979951885	666943	-0.164574979951885
7	25	768936	808308	39372	2	51	-0.193803062740576	808308	-0.159962008675567
7	26	1025871	1025871	0	1	Inf	-0.156383186541407	1025871	-0.156383186541407
7	27	1079596	1219760	140164	23	164	-0.223153897305842	1146918	-0.174000212328042
7	28	1222320	1222320	0	1	Inf	-0.133375147473692	1222320	-0.133375147473692
7	29	1226429	1226429	0	1	Inf	-0.132263478201435	1226429	-0.132263478201435
7	30	1255902	1268667	12765	9	705	-0.181016915629366	1268667	-0.163485907605478
7	31	1299854	1313116	13262	4	302	-0.222926876892423	1313116	-0.179861611483156
8	31	26150	81887	55737	3	54	-0.286608712241521	28612	-0.267432400883645
8	32	182668	182668	0	1	Inf	-0.201353972519515	182668	-0.201353972519515
8	33	355261	370306	15045	2	133	-0.277798503719501	370306	-0.228489048109238
8	34	462119	462119	0	1	Inf	-0.139270411115865	462119	-0.139270411115865
8	35	493095	575867	82772	15	181	-0.303391943835788	526923	-0.25251456818943
8	36	724426	952484	228058	49	215	-0.252351222482688	740270	-0.182980967940008
8	37	1018603	1026391	7788	4	514	-0.214026413964884	1019097	-0.202336411850636
8	38	1058585	1252793	194208	13	67	-0.26052402272425	1238422	-0.199603407102373
