CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	31104	109428	78324	14	179	-0.481648138555001	31104	-0.37016837374711
1	2	303924	303924	0	1	Inf	0.24133527735689	303924	0.24133527735689
1	3	715530	755389	39859	3	75	-0.253148900529582	715530	-0.219104633109758
1	4	807015	814587	7572	2	264	-0.193549355526336	814587	-0.18940256601381
2	5	23546	65932	42386	8	189	-0.233715055280601	23546	-0.208957792433288
2	6	146433	202948	56515	26	460	0.156860718469718	151591	0.145638823708593
2	7	237046	304525	67479	16	237	0.239329700265609	282383	0.211161391182181
2	8	359393	365814	6421	2	311	0.135015978553459	365814	0.132146377418675
2	9	398419	411968	13549	3	221	0.134305349934596	398419	0.12811608365454
2	10	463571	589928	126357	11	87	0.269901057319667	588254	0.203797390879852
2	11	645307	657159	11852	4	337	0.178447757759949	657159	0.175284366613488
3	12	7056	76579	69523	17	245	-0.184314451427046	23846	-0.173149377948508
3	13	109686	127366	17680	6	339	-0.161577574281922	118260	-0.14909993742144
3	14	343070	668648	325578	5	15	-0.464320855838881	668648	-0.254135709368959
3	15	933539	941957	8418	6	713	-0.195911027431885	934851	-0.188609069938849
4	16	425449	425449	0	1	Inf	-0.135674687157397	425449	-0.135674687157397
4	17	1003595	1004085	490	2	4082	-0.1474675206641	1004085	-0.146158721750966
5	18	170080	170080	0	1	Inf	0.132386583606096	170080	0.132386583606096
5	19	655171	747783	92612	6	65	-0.394244835624146	695336	-0.260734855324258
6	20	257738	910145	652407	19	29	0.264681555004136	857791	0.0583552309454668
6	21	998208	1009390	11182	2	179	0.169862366353409	998208	0.157533503873107
6	22	1085318	1085318	0	1	Inf	0.176558682898934	1085318	0.176558682898934
7	23	60420	129380	68960	7	102	-0.444197929722167	85330	-0.424192933269055
7	24	315204	347491	32287	13	403	0.201062232922805	334563	0.171930058927194
7	25	411487	448015	36528	3	82	0.147926981450242	411487	0.141316599285492
7	26	482247	500630	18383	5	272	-0.180880343715656	500630	-0.155106271619735
7	27	860410	875319	14909	3	201	0.166826384424045	860410	0.162123941803915
7	28	949719	963897	14178	8	564	0.243611923052349	950637	0.233622165131106
7	29	1146918	1235306	88388	32	362	-0.261809939563507	1146918	-0.19225460427391
7	30	1249220	1313116	63896	19	297	-0.27957010129775	1313116	-0.19295660154595
8	30	26150	35881	9731	3	308	-0.29766343244245	26150	-0.290601905873075
8	31	164962	182668	17706	3	169	-0.232356238245496	182668	-0.169050804617431
8	32	370306	534633	164327	18	110	-0.295118878240954	475172	-0.255797543073167
8	33	606856	645946	39090	28	716	-0.154441903006517	629218	-0.142393086679718
8	34	733536	865009	131473	24	183	-0.269131969929358	783560	-0.210777056033699
8	35	891449	952484	61035	18	295	-0.190489996877697	945822	-0.172958452691263
8	36	1034063	1058585	24522	13	530	0.236362261128349	1042258	0.216665950364531
8	37	1238422	1238422	0	1	Inf	-0.187515865400853	1238422	-0.187515865400853
