CHROM	qtl	start	end	length	nSNPs	avgSNPs_Mb	peakDeltaSNP	posPeakDeltaSNP	avgDeltaSNP
1	1	715530	732150	16620	2	120	-0.249244479045119	715530	-0.236238543283473
1	2	844126	855001	10875	2	184	0.134964244335436	844126	0.126776019662497
2	3	249335	249335	0	1	Inf	0.122559829522479	249335	0.122559829522479
3	4	668648	668648	0	1	Inf	-0.293681839734471	668648	-0.293681839734471
4	5	216867	237812	20945	12	573	-0.178119684076356	216867	-0.15487276650871
5	6	308830	308830	0	1	Inf	0.184041318477252	308830	0.184041318477252
5	7	695336	747783	52447	2	38	-0.250902030412053	695336	-0.239234358624372
5	8	823050	830697	7647	8	1046	-0.169293769369374	823050	-0.159391156512899
5	9	863560	863560	0	1	Inf	-0.164978878336414	863560	-0.164978878336414
5	10	921624	923631	2007	2	997	-0.182801500853181	921624	-0.182243184144217
6	11	274285	553964	279679	4	14	-0.185551717899481	278218	-0.0124354934211447
6	12	857791	857791	0	1	Inf	0.13424677239544	857791	0.13424677239544
6	13	938952	952870	13918	5	359	-0.170974509358575	946007	-0.165096742430046
6	14	1056029	1056029	0	1	Inf	-0.12524288719532	1056029	-0.12524288719532
7	15	60420	129380	68960	11	160	-0.311218987183676	61650	-0.294698977325109
7	16	500630	537185	36555	2	55	-0.230870376608051	537185	-0.230634688373685
7	17	949719	950637	918	9	9804	0.177049689637065	950637	0.176907027781316
7	18	1075327	1240882	165555	36	217	-0.244165898342564	1189417	-0.204365306416694
7	19	1249220	1313116	63896	17	266	-0.279688804604368	1313116	-0.201691604273662
8	19	26150	28612	2462	2	812	-0.411004740676551	26150	-0.41064693370602
8	20	164962	182668	17706	3	169	-0.189956780149544	182668	-0.159575359997956
8	21	299740	300392	652	4	6135	0.29642684183066	300392	0.296414241946612
8	22	370306	370306	0	1	Inf	-0.202115600071647	370306	-0.202115600071647
8	23	462119	527228	65109	14	215	-0.19570467600239	483699	-0.172731995179671
8	24	633354	635130	1776	2	1126	-0.125764167496662	633354	-0.124692195508866
8	25	733536	836332	102796	18	175	-0.218573430812778	783560	-0.177926534635837
8	26	897725	952484	54759	13	237	-0.157827113431092	945822	-0.139126289038834
8	27	1090645	1096950	6305	3	476	-0.168435410421485	1090645	-0.167325551791522
